timestamp,alert_id,rule,severity,user_id,payment_id,order_id,amount,detail
2026-03-13T13:59:40.499947,alert-pay-2a360069,very_large_payment,MEDIUM,user-0021,pay-2a360069,ord-83bf2d15,494147.87,"amount=Rs.494,148 exceeds threshold"
2026-03-13T13:59:45.495131,alert-pay-d11de700,very_large_payment,MEDIUM,user-0003,pay-d11de700,ord-32909cec,310906.8,"amount=Rs.310,907 exceeds threshold"
2026-03-13T13:59:49.444425,alert-pay-9fa07e8b,very_large_payment,MEDIUM,user-0039,pay-9fa07e8b,ord-1873f6f9,252790.41,"amount=Rs.252,790 exceeds threshold"
2026-03-13T13:59:58.164888,alert-pay-f30e4b51,very_large_payment,MEDIUM,user-0007,pay-f30e4b51,ord-fb3f2b5a,288965.62,"amount=Rs.288,966 exceeds threshold"
2026-03-13T14:01:37.992547,alert-pay-95074fe1,very_large_payment,MEDIUM,user-0001,pay-95074fe1,ord-d9d296e3,211704.97,"amount=Rs.211,705 exceeds threshold"
2026-03-13T14:01:37.993010,alert-pay-3b132aa2,very_large_payment,MEDIUM,user-0027,pay-3b132aa2,ord-6b9d856f,429661.58,"amount=Rs.429,662 exceeds threshold"
2026-03-13T14:01:37.993062,alert-pay-ba4ba6d4,very_large_payment,MEDIUM,user-0014,pay-ba4ba6d4,ord-8396cc2b,311711.54,"amount=Rs.311,712 exceeds threshold"
2026-03-13T14:01:37.993088,alert-pay-c113cef9,new_account_large_payment,HIGH,user-0046,pay-c113cef9,ord-be8a1470,93627.53,"account age=2 days, amount=Rs.93,628"
2026-03-13T14:01:37.995620,alert-pay-78b39144,very_large_payment,MEDIUM,user-0012,pay-78b39144,ord-80d5f054,359098.84,"amount=Rs.359,099 exceeds threshold"
2026-03-13T14:01:37.995695,alert-pay-5d24fb77,very_large_payment,MEDIUM,user-0040,pay-5d24fb77,ord-f9178e16,242405.99,"amount=Rs.242,406 exceeds threshold"
2026-03-13T14:01:37.999717,alert-pay-7551fdae,very_large_payment,MEDIUM,user-0008,pay-7551fdae,ord-dd082f1d,260419.44,"amount=Rs.260,419 exceeds threshold"
2026-03-13T14:01:37.999793,alert-pay-beff0646,very_large_payment,MEDIUM,user-0039,pay-beff0646,ord-48c0175f,433095.68,"amount=Rs.433,096 exceeds threshold"
